prefix,reference,name,description
article-4-direction-rule_329,1,External alterations to buildings are restricted,
article-4-direction-rule_329,2,Change of use, demolition or alteration of pubs is restricted,
article-4-direction-rule_329,3,Change of use from Class E to residential is restricted,
article-4-direction-rule_329,4,Change of use from offices to dwelling houses is restricted,
article-4-direction-rule_329,5,Change of use from self contained dwelling houses is restricted,
article-4-direction-rule_329,6,Conversion of railway arches to residential dwellings is restricted,
article-4-direction-rule_329,7,Demolition on the site restricted,
article-4-direction-rule_329,8,External alterations to buildings are restricted,
