prefix,reference,organisation,name,documentation-url,document-url,entry-date,start-date,end-date
article-4-direction_329,2,local-authority-eng:SWK,Sunray Estate,https://www.southwark.gov.uk/planning-and-building-control/planning-policy-and-transport-policy/article-4-directions?chapter=2,https://www.southwark.gov.uk/assets/attach/6469/Sunray-Estate-Article-4-Direction.pdf,,1987-05-15,
article-4-direction_329,3.1,local-authority-eng:SWK,"Houses in multiple occupation, Henshaw Street, SE17",https://www.southwark.gov.uk/planning-and-building-control/planning-policy-and-transport-policy/article-4-directions?chapter=3,https://www.southwark.gov.uk/assets/attach/5219/1.5.3-Article-4-Direction-Henshaw_Street_Oct_2014.pdf,,2014-10-17,
article-4-direction_329,3.2,local-authority-eng:SWK,"Houses in multiple occupation, Bywater Place, SE16",https://www.southwark.gov.uk/planning-and-building-control/planning-policy-and-transport-policy/article-4-directions?chapter=3,https://www.southwark.gov.uk/assets/attach/2944/Confirmed-and-sealed-Bywater-Place-Article-4-Direction-11.04.2017.pdf,,2017-04-11,
article-4-direction_329,4,local-authority-eng:SWK,Railway Arches,https://www.southwark.gov.uk/planning-and-building-control/planning-policy-and-transport-policy/article-4-directions?chapter=4,,,
