attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
,article-4-direction,,,,local-authority-eng:CHR,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:CHS,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:CHT,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:CHW,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:CLD,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:CMD,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:COL,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:CON,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:COP,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:COR,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:COT,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:COV,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:CRA,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:CRW,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:CRY,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:DAC,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:DAL,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:DAR,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:DAV,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:DEB,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:DER,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:DNC,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:DOV,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:DST,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:DUD,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:DUR,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:EAL,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:EAS,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:EAT,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:ECA,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:EDE,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:EDN,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:EDO,article-4-direction,2021-08-31T16:13:35.530Z,,2019-03-31
,article-4-direction,,,,local-authority-eng:EHA,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:EHE,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:ELI,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:ELM,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:ENF,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:ENO,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:EPP,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:EPS,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:ERE,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:ERY,article-4-direction,2021-08-31T16:13:35.530Z,,
,article-4-direction,,,,local-authority-eng:ESK,article-4-direction,2021-08-31T16:13:35.530Z,,
