resource,bytes,organisations,endpoints,start-date,end-date
18202c0b321a31029358d3fe65d17fd00bdd1e07b2bbfe20c612247639346f9b,3223131,local-authority-eng:BUC,5ba34502eac50d7e748548ae77fd2d0699ddb3167d23a27895682d8d6ca22229,2022-01-13,2022-01-13
223b31dab8f2af16bd637db4be4e17239a7405a5f585200610c05cd64440c988,5123,local-authority-eng:BUC;local-authority-eng:LBH;local-authority-eng:SWK,a87e5975ea7cddd88764f557ad4880e06b58a480cb7bace2da8bcf3c1e5c92ba,2021-02-02,2022-02-14
368d17a72f6f47f94e3ab6832223fa01d38838b9d24c5f27c53e4704eee83c9d,234099,local-authority-eng:LBH,55e8c3db23ada8dac1343c4b6dd8ecd71c6b057ee3cea1eec2aa73318f06bc3f,2021-10-29,
5a63cf05c7ec1a74184180e1b42a71a7d6ea9071419b2f85f72fb59c2d8a07a0,1955382,local-authority-eng:CAT,351fdbd179616dcf25ce0c4498cbd7fd5a917c5bbedcbc6af9f3f23d546b484d,2021-11-11,
7fb3fd9a1f73608c71659df88e4c26f64e5ce883e5e1456b88dd14194cd1d677,85587,local-authority-eng:LBH,e7a76e75e24a96e2b8cf2ee39cdd7bd4fc7fe5978cc77828434787f457b34d3f,2021-10-29,
a54c9011cab0df132ca796a66c55e05d1f59357e69aef6ac88034f6aa2a69c85,2041716,local-authority-eng:SWK,c2ae5f717ecc02ab2f2a4bbabe7890e8e6ac4d57327c213b95af6ac8c1a95cfe,2021-12-18,
